Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-HLD-010-SMT-TR_BAT_BAT-HLD-010-SMT-TR,1,BAT-HLD-010-SMT-TR_BAT-HLD-010-SMT-TR,
"C1, C10, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C11, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C8, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C9, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99",Y-CAP_CAPC2012X110,99,Y-CAP_CCHIP-0805(2012-METRIC),
"C110, C111, C112, C113, C114, C115, C12, C14, C15, C16, C17, C18, C19, C42, C43",Y-CAP_CAPC2012X110,15,100nF,
C13,Y-CAP_CAPC2012X110,1,330nF,
D226,1-LAYER_LED5MM_R-ROC,1,LED_RED,
J1,AMPHENOL_10067847-301RLF,1,10067847-301RLF,
J2,UJ20-C-H-C-4-SMT-TR_CUI_UJ20-C-H-C-4-SMT-TR,1,UJ20-C-H-C-4-SMT-TR_UJ20-C-H-C-4-SMT-TR,
JP1,1-LAYER_1X09,1,1-LAYER_PINHD-1X9,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED6, LED60, LED61, LED62, LED63, LED64, LED65, LED66, LED67, LED68, LED69, LED7, LED70, LED71, LED72, LED73, LED74, LED75, LED76, LED77, LED78, LED79, LED8, LED80, LED81, LED82, LED83, LED84, LED85, LED86, LED87, LED88, LED89, LED9, LED90, LED91, LED92, LED93, LED94, LED95, LED96, LED97, LED98, LED99",WS2812B_WS2812B-NARROW,99,WS2812B_WS2812B_5050N,
"R1, R10, R11, R12, R13, R14, R15, R2, R23, R5, R6, R8, R9",Y-RES_RESC2012X65,13,10K,
"R16, R17, R21",Y-RES_RESC2012X65,3,2k2,
"R18, R19, R20",Y-RES_RESC2012X65,3,3K3,
R22,R_LDR_5.1x4.3mm_P3.4mm_Vertical,1,LDR07,
"R3, R4",Y-RES_RESC2012X65,2,22R,
R7,Y-RES_RESC2012X65,1,330R,
"S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, SR0",1-LAYER_B3F-10XXROC,11,1-LAYER_SWITCH_PCB_B3F-10-XX0.5,
U1,DS1302ZN_T_R_SOIC127P600X175-8N,1,DS1302ZN_T_R_DS1302ZN+T&R,
U2,Y_COMP-SET_XCVR_ESP32-S3-WROOM-1-N16R2,1,Y_COMP-SET_ESP32-S3-WROOM-1-N16R2,
VR1,UA78M33CDCYG3_VREG_UA78M33CDCYG3,1,UA78M33CDCYG3_UA78M33CDCYG3,
Y1,WE-XTAL_WATCH_WE-XTAL_WATCH-2X6,1,WE-XTAL_WATCH_WE-XTAL_WATCH_2X6,
